Website Domain,Effective date,Found At,Financing Type,Financing Type Normalized,Categories,Investors,Investors Count,Amount,Amount Normalized,Source Urls,amount_clean
anthropic.com,,2024-07-08T02:00:00+02:00,,,,damachotelsandresorts.com,1.0,$50mn,50000000,https://www.arabianbusiness.com/industries/technology/dubais-damac-group-bets-big-on-ai-with-50mn-investment-in-anthropic,50000000.0
ey.com,,2024-04-18T02:00:00+02:00,,,,,,AU$10.7M,6865000,https://www.biometricupdate.com/202404/ey-secures-au10-7m-to-build-australia-digital-id-register-after-limited-tender,10700000.0
openpipe.ai,,2024-03-26T01:00:00+01:00,Seed,seed,seed,,,$6.7 million,6700000,https://www.geekwire.com/2024/seattle-startup-openpipe-raises-6-7m-to-help-companies-reduce-costs-for-llm-development,6700000.0
openpipe.ai,,2024-03-26T01:00:00+01:00,Seed,seed,venture,,,$6.7 million,6700000,https://www.geekwire.com/2024/seattle-startup-openpipe-raises-6-7m-to-help-companies-reduce-costs-for-llm-development,6700000.0
canva.com,,2024-05-09T02:00:00+02:00,,,,surocap.com,1.0,$2 billion,2000000000,https://www.investing.com/news/stock-market-news/earnings-call-suro-capital-q1-2024-earnings-show-strategic-investments-93CH-3431237,2000000000.0
syntetica.co,,2024-07-16T02:00:00+02:00,Seed,seed,seed,,,Û4.2 million,4581000,https://tech.eu/2024/07/16/syntetica-raises-eur42m-to-close-the-loop-in-nylon-recycling,4200000.0
syntetica.co,,2024-07-16T02:00:00+02:00,Seed,seed,venture,,,Û4.2 million,4581000,https://tech.eu/2024/07/16/syntetica-raises-eur42m-to-close-the-loop-in-nylon-recycling,4200000.0
zf.com,,2024-07-15T02:00:00+02:00,,,,eib.org,1.0,Û425 million,464695000,https://thebrakereport.com/eib-funds-zf-braking-steering-advances,425000000.0
sparelabs.com,,2024-06-05T02:00:00+02:00,,,,,,$10M,10000000,https://www.finsmes.com/2024/06/spare-receives-10m-in-growth-capital.html,10000000.0
e-zinc.ca,,2024-06-27T02:00:00+02:00,Series A2,series_a2,series_a2,,,USD 31M,31000000,https://www.explorebit.io/article/e-Zinc%20Raises%20USD%2031M%20Series%20A2%20Funding,31000000.0
e-zinc.ca,,2024-06-27T02:00:00+02:00,Series A2,series_a2,venture,,,USD 31M,31000000,https://www.explorebit.io/article/e-Zinc%20Raises%20USD%2031M%20Series%20A2%20Funding,31000000.0
biointelligence.com,,2024-04-25T02:00:00+02:00,,,,,,$5M,5000000,https://www.prweb.com/releases/biointelligence-technologies-raises-5m-to-accelerate-growth-in-america-and-europe-302125188.html,5000000.0
claritisoftware.com,,2024-04-10T02:00:00+02:00,,,private_equity,vistaragrowth.com,1.0,$24.6 million CAD,18139000,https://betakit.com/government-software-provider-clariti-cloud-secures-24-6-million-cad-from-vistara-growth,24600000.0
heylist.com,2024-06-20T02:00:00+02:00,2024-06-18T02:00:00+02:00,,,private_equity,accelia.vc,1.0,$1.6M,1600000,"https://www.newswire.ca/news-releases/heylist-secures-1-6m-in-funding-to-make-influencer-marketing-accessible-801065350.html, https://finance.yahoo.com/news/heylist-secures-1-6m-funding-130000707.html",1600000.0
qohash.com,2024-04-24T02:00:00+02:00,2024-04-24T02:00:00+02:00,,,private_equity,"edc.ca, desjardinscapital.com, fondsftq.com",3.0,$17.4 million,17400000,"https://qohash.com/qohash-secures-17-4-million-in-series-b-funding-led-by-fonds-de-solidarite-ftq-to-accelerate-growth-of-its-ai-data-security-platform, https://financialit.net/news/fundraising-news/qohash-secures-174-million-series-b-funding-led-fonds-de-solidarite-ftq, https://www.frontlines.io/jean-le-bouthillier-ceo-of-qohash/",17400000.0
topicflow.com,,2024-06-25T02:00:00+02:00,Seed,seed,seed,,,CAD$2.5M,1823000,https://www.finsmes.com/2024/06/topicflow-raises-cad2-5m-in-funding.html,2500000.0
topicflow.com,,2024-06-25T02:00:00+02:00,Seed,seed,venture,,,CAD$2.5M,1823000,https://www.finsmes.com/2024/06/topicflow-raises-cad2-5m-in-funding.html,2500000.0
claritisoftware.com,2024-06-26T02:00:00+02:00,2024-06-26T02:00:00+02:00,,,private_equity,cibc.com,1.0,$10 million,10000000,"https://www.marketscreener.com/quote/stock/CANADIAN-IMPERIAL-BANK-OF-1409496/news/CIBC-Innovation-Banking-Provides-10-Million-Growth-Capital-Financing-to-Clariti-47248386, https://www.finsmes.com/2024/06/clariti-receives-10m-in-financing-from-cibc-innovation-banking.html",10000000.0
biointelligence.com,,2024-04-30T02:00:00+02:00,Seed,seed,seed,,,$5 million CAD,3653000,https://betakit.com/biointelligence-technologies-raises-5-million-for-biomanufacturing-efficiency-platform,5000000.0
biointelligence.com,,2024-04-30T02:00:00+02:00,Seed,seed,venture,,,$5 million CAD,3653000,https://betakit.com/biointelligence-technologies-raises-5-million-for-biomanufacturing-efficiency-platform,5000000.0
gaiia.com,2024-06-27T02:00:00+02:00,2024-06-27T02:00:00+02:00,Series A,series_a,series_a,inovia.vc,1.0,US$13.2M,13200000,"https://financialpost.com/globe-newswire/gaiia-raises-series-a-led-by-inovia-capital-to-revolutionize-customer-experience-for-internet-service-providers, https://www.finsmes.com/2024/06/gaiia-raises-us13-2m-in-series-a-financing.html",13200000.0
gaiia.com,2024-06-27T02:00:00+02:00,2024-06-27T02:00:00+02:00,Series A,series_a,venture,inovia.vc,1.0,US$13.2M,13200000,"https://financialpost.com/globe-newswire/gaiia-raises-series-a-led-by-inovia-capital-to-revolutionize-customer-experience-for-internet-service-providers, https://www.finsmes.com/2024/06/gaiia-raises-us13-2m-in-series-a-financing.html",13200000.0
sinnstudio.com,,2024-05-22T02:00:00+02:00,,,private_equity,,,$2.5M,2500000,https://www.finsmes.com/2024/05/sinn-studio-raises-2-5m-in-funding.html,2500000.0
sinnstudio.com,,2024-05-22T02:00:00+02:00,,,venture,,,$2.5M,2500000,https://www.finsmes.com/2024/05/sinn-studio-raises-2-5m-in-funding.html,2500000.0
topicflow.com,,2024-06-25T02:00:00+02:00,,,,,,$2.5m,2500000,https://www.streetinsider.com/Accesswire/Topicflow+Raises+%242.5m+to+Disrupt+Performance+Reviews+With+AI/23393680.html,2500000.0
